Geneid	RNA_1196Y_1	RNA_1196Y_2	RNA_1199Y_1	RNA_1199Y_2	1196Y_1	1196Y_2	1199Y_1	1199Y_2
Os01g0125700	70	90	110	70	27	16	60	97
Os01g0125800	47	35	35	20	0	0	0	0
Os01g0125850	0	0	0	0	0	0	0	0
Os01g0125900	894	1001	817	849	705	809	1106	998
Os01g0126000	3	0	0	0	0	0	0	0
Os01g0126100	1	2	0	1	0	0	0	0
Os01g0126200	1303	2075	954	519	400	398	426	328
Os01g0126401	51	72	33	28	9	4	0	1
Os01g0126600	18	35	16	30	0	0	0	0
Os01g0126900	0	0	0	0	2	0	0	0
Os01g0127000	0	0	0	0	0	0	0	0
Os01g0127100	0	0	0	0	0	0	0	0
Os01g0127200	0	0	0	0	0	18	2	0
Os01g0127300	2065	3062	2321	1550	257	378	315	130
Os01g0127400	581	851	766	581	95	96	206	151
Os01g0127450	12	19	28	26	0	0	0	0
Os01g0127500	2	1	2	1	2	0	20	17
Os01g0127600	2	2	0	3	0	0	0	0
Os01g0127700	155	249	90	134	6	15	22	79
Os01g0127900	36	46	57	90	40	73	65	110
Os01g0128000	0	2	0	0	0	0	0	2
Os01g0128100	3	30	1	15	0	0	8	11
Os01g0128200	24	49	20	16	12	0	0	0
Os01g0128250	0	0	0	0	0	0	0	0
Os01g0128300	112	144	29	53	26	53	12	23
Os01g0128400	881	978	800	660	1211	729	1071	1232
Os01g0128700	201	168	159	217	0	28	14	7
Os01g0128800	4254	4733	3680	3921	1471	1104	1657	1159
Os01g0129200	0	0	0	0	0	0	0	0
Os01g0129500	48	28	36	85	6	1	0	9
Os01g0129550	0	0	0	0	0	0	0	0
Os01g0129600	0	0	0	0	0	0	0	0
Os01g0129800	0	0	0	0	0	0	0	0
Os01g0130000	104	154	143	130	19	28	110	71
Os01g0130100	0	0	0	0	0	0	0	0
Os01g0130200	136	145	75	46	4	12	0	0
Os01g0130400	322	291	113	174	90	0	38	5
Os01g0130500	0	0	0	0	0	0	0	0
Os01g0130900	49	47	64	73	34	57	75	0
Os01g0131250	0	0	0	0	0	0	0	2
Os01g0131300	1608	1645	2771	2934	915	912	1554	1053
Os01g0131600	2	3	8	13	0	0	0	0
Os01g0131450	0	0	0	0	0	0	0	0
Os01g0131800	153	180	166	160	37	3	0	0
Os01g0131900	34	42	5	11	0	0	0	0
Os01g0132000	21	92	10	40	0	16	18	0
Os01g0132050	11	8	18	8	7	0	0	1
Os01g0132100	0	0	0	0	0	0	0	0
Os01g0132200	0	0	0	0	0	2	0	0
Os01g0132400	0	0	0	0	0	0	0	0
Os01g0132500	24	20	35	23	9	0	0	0
Os01g0132700	63	56	86	77	0	6	36	0
Os01g0132766	183	278	152	151	0	0	0	0
Os01g0132800	2275	2728	1758	1488	361	169	543	330
Os01g0133100	0	0	0	0	0	0	0	0
Os01g0133200	0	0	2	0	0	0	0	0
Os01g0133400	768	785	610	729	296	465	584	467
Os01g0133500	278	336	213	191	79	140	152	23
Os01g0133600	1	0	0	0	0	0	0	0
Os01g0133650	0	0	0	0	0	0	0	0
Os01g0133700	0	0	0	0	0	0	0	0
Os01g0133799	0	0	0	0	0	0	0	0
Os01g0133832	0	0	0	0	0	0	0	0
Os01g0133866	0	0	0	0	0	0	0	0
Os01g0133900	0	0	0	0	0	0	0	0
Os01g0134200	29	49	9	13	15	0	0	0
Os01g0134500	384	532	186	259	78	33	145	50
Os01g0134700	17	67	15	33	43	134	108	151
Os01g0134800	0	0	0	0	0	0	0	0
Os01g0134850	0	0	0	0	0	0	0	0
Os01g0134900	1	1	0	0	0	0	0	0
Os01g0135000	0	0	0	0	0	0	0	2
Os01g0135600	254	256	154	120	0	0	0	0
Os01g0135700	52	53	16	409	105	661	954	465
Os01g0135800	3	2	0	0	0	0	18	0
Os01g0135900	718	822	945	1120	185	242	265	302
Os01g0136000	0	2	0	1	0	0	0	0
Os01g0136050	0	0	2	0	0	0	0	0
Os01g0136100	10	0	4	4	0	24	0	0
Os01g0136200	0	0	0	0	0	0	0	0
Os01g0136300	58	82	50	72	0	0	0	0
Os01g0136400	1685	1548	1688	1755	346	330	996	689
Os01g0136450	0	0	0	0	0	0	0	0
Os01g0136500	0	0	0	0	0	0	0	0
Os01g0136502	0	0	0	0	0	0	0	0
Os01g0136600	0	0	1	3	0	0	0	0
Os01g0136700	11	12	4	7	1	0	0	0
Os01g0136800	24	41	35	27	0	0	0	0
Os01g0136850	0	0	0	0	0	0	0	0
Os01g0136900	41	55	52	37	0	1	2	7
Os01g0137400	12	2	1	8	0	0	0	0
Os01g0137125	0	0	0	0	0	0	0	0
Os01g0137200	0	0	0	0	0	0	0	0
